"datetime","deployment","pm10.avg","wd","ws"
2015-12-14 10:00:00,"T29-4N",10.21949,315.5189,13.032825344
2015-12-14 11:00:00,"T29-4N",14.22128,288.1765,12.150904832
2015-12-14 12:00:00,"T29-4N",30.22645,311.4575,12.542869504
2015-12-14 13:00:00,"T29-4N",27.52056,314.1167,11.464966656
2015-12-14 14:00:00,"T29-4N",16.13985,304.3574,12.248896
2015-12-14 15:00:00,"T29-4N",8.469078,305.3219,10.191081472
2015-12-14 16:00:00,"T29-4N",9.351048,300.6492,10.191081472
2015-12-14 17:00:00,"T29-4N",14.15037,338.958,5.585496576
2015-12-14 18:00:00,"T29-4N",21.84557,331.5416,7.643311104
2015-12-14 19:00:00,"T29-4N",11.16969,334.1792,5.291523072
2015-12-14 20:00:00,"T29-4N",9.076199,339.7231,7.055364096
2015-12-14 21:00:00,"T29-4N",8.514955,333.1909,6.85938176
2015-12-14 22:00:00,"T29-4N",5.84264,329.6972,7.937284608
2015-12-14 23:00:00,"T29-4N",5.875564,320.417,6.36942592
2015-12-15 00:00:00,"T29-4N",5.821568,326.8191,8.32924928
2015-12-15 01:00:00,"T29-4N",4.779534,329.0731,9.113178624
2015-12-15 02:00:00,"T29-4N",7.717936,321.4161,8.721213952
2015-12-15 03:00:00,"T29-4N",5.902853,338.141,8.525231616
2015-12-15 04:00:00,"T29-4N",6.522105,342.2632,11.26898432
2015-12-15 05:00:00,"T29-4N",8.551877,330.4514,9.30916096
2015-12-15 06:00:00,"T29-4N",8.776204,339.1769,11.660948992
2015-12-15 07:00:00,"T29-4N",8.098961,332.8485,9.603134464
2015-12-15 08:00:00,"T29-4N",8.214482,334.0622,7.153355264
2015-12-15 09:00:00,"T29-4N",16.17268,314.4244,15.67858688
2015-12-15 10:00:00,"T29-4N",79.22081,323.4555,19.010286592
2015-12-15 11:00:00,"T29-4N",208.6046,327.582,15.874569216
2015-12-15 12:00:00,"T29-4N",86.50833,321.4247,10.28907264
2015-12-15 13:00:00,"T29-4N",24.73873,326.3076,10.191081472
2015-12-15 14:00:00,"T29-4N",11.74291,335.1826,11.170993152
2015-12-15 15:00:00,"T29-4N",11.11929,320.7529,11.954922496
2015-12-15 16:00:00,"T29-4N",11.37248,323.4988,10.191081472
2015-12-15 17:00:00,"T29-4N",10.59383,338.6264,6.36942592
2015-12-15 18:00:00,"T29-4N",8.350396,322.996,9.113178624
2015-12-15 19:00:00,"T29-4N",8.879118,342.8136,11.26898432
2015-12-15 20:00:00,"T29-4N",8.190805,341.3572,9.7991168
2015-12-15 21:00:00,"T29-4N",6.030181,334.578,11.26898432
2015-12-15 22:00:00,"T29-4N",6.260675,323.1239,12.346887168
2015-12-15 23:00:00,"T29-4N",7.528028,309.0799,6.957372928
2015-12-16 00:00:00,"T29-4N",5.85456,334.4306,9.505143296
2015-12-16 01:00:00,"T29-4N",6.36152,354.4888,4.801567232
2015-12-16 02:00:00,"T29-4N",5.180038,332.0119,8.32924928
2015-12-16 03:00:00,"T29-4N",6.423435,54.28599,4.40960256
2015-12-16 04:00:00,"T29-4N",8.161603,59.55465,2.155805696
2015-12-16 05:00:00,"T29-4N",7.994371,107.0375,3.233708544
2015-12-16 06:00:00,"T29-4N",6.197251,187.2724,2.93973504
2015-12-16 07:00:00,"T29-4N",7.360097,353.8321,0
2015-12-16 08:00:00,"T29-4N",11.21989,0.08235657,2.057814528
2015-12-16 09:00:00,"T29-4N",27.67897,157.8321,0.783929344
2015-12-16 10:00:00,"T29-4N",12.66988,130.9925,1.371876352
2015-12-16 11:00:00,"T29-4N",4.98986,56.58331,0.97991168
2015-12-16 12:00:00,"T29-4N",4.480265,114.3781,0.685938176
2015-12-16 13:00:00,"T29-4N",22.79158,142.0586,1.763841024
2015-12-16 14:00:00,"T29-4N",20.16191,170.528,2.841743872
